nn compound,DEV/TEST, pos, neg, neu, noun1, noun1.pos, noun1.neg, noun1.neu, noun2, noun2.pos, noun2.neg, noun2.neu
retrograde behavior,DEV,0.05,0.7,0.25, retrograde,0.1,0.4,0.5, behavior,0.15,0.0,0.85
silk worm,DEV,0.1,0.1,0.8, silk,0.35,0.0,0.65, worm,0.0,0.4,0.6
welfare programs,DEV,0.4,0.3,0.3, welfare,0.15,0.4,0.45, programs,0.15,0.0,0.85
welfare states,DEV,0.0,0.7,0.3, welfare,0.15,0.4,0.45, states,0.0238095238095,0.0,0.97619047619
dust bowl,DEV,0.1,0.6,0.3, dust,0.0,0.45,0.55, bowl,0.0,0.0,1.0
auditing areas,DEV,0.0,0.333333333333,0.666666666667, auditing,0.05,0.5,0.45, areas,0.0,0.0,1.0
expense accrual,DEV,0.05,0.5,0.45, expense,0.0,0.5,0.5, accrual,0.55,0.0,0.45
interest expense,DEV,0.047619047619,0.47619047619,0.47619047619, interest,0.666666666667,0.0,0.333333333333, expense,0.0,0.5,0.5
lease obligation,DEV,0.1,0.45,0.45, lease,0.05,0.15,0.8, obligation,0.05,0.55,0.4
peer pressure,DEV,0.0,0.95,0.05, peer,0.25,0.0,0.75, pressure,0.0,0.55,0.45
tax bases,DEV,0.0,0.2,0.8, tax,0.0,0.55,0.45, bases,0.05,0.0,0.95
tax law,DEV,0.05,0.2,0.75, tax,0.0,0.55,0.45, law,0.05,0.05,0.9
tax money,DEV,0.1,0.35,0.55, tax,0.0,0.55,0.45, money,0.5,0.0,0.5
tax payer,DEV,0.3,0.15,0.55, tax,0.0,0.55,0.45, payer,0.272727272727,0.136363636364,0.590909090909
tax purposes,DEV,0.05,0.3,0.65, tax,0.0,0.55,0.45, purposes,0.35,0.0,0.65
tax revenues,DEV,0.4,0.15,0.45, tax,0.0,0.55,0.45, revenues,0.5,0.0,0.5
tax rules,DEV,0.0,0.45,0.55, tax,0.0,0.55,0.45, rules,0.05,0.0,0.95
tax savings,DEV,0.85,0.0,0.15, tax,0.0,0.55,0.45, savings,0.65,0.0,0.35
item omission,DEV,0.05,0.7,0.25, item,0.0,0.0,1.0, omission,0.05,0.6,0.35
yellostone fire,DEV,0.0,0.7,0.3, yellostone,0.1,0.05,0.85, fire,0.0,0.6,0.4
audit committee,DEV,0.047619047619,0.52380952381,0.428571428571, audit,0.0,0.65,0.35, committee,0.2,0.0,0.8
audit manager,DEV,0.05,0.1,0.85, audit,0.0,0.65,0.35, manager,0.15,0.0,0.85
audit staff,DEV,0.0,0.47619047619,0.52380952381, audit,0.0,0.65,0.35, staff,0.1,0.0,0.9
audit team,DEV,0.0,0.380952380952,0.619047619048, audit,0.0,0.65,0.35, team,0.35,0.0,0.65
forest fires,DEV,0.0,1.0,0.0, forest,0.35,0.05,0.6, fires,0.0,0.65,0.35
control risk,DEV,0.272727272727,0.454545454545,0.272727272727, control,0.142857142857,0.0952380952381,0.761904761905, risk,0.0,0.7,0.3
detection risk,DEV,0.05,0.65,0.3, detection,0.1,0.05,0.85, risk,0.0,0.7,0.3
media scrutiny,DEV,0.1,0.7,0.2, media,0.05,0.1,0.85, scrutiny,0.05,0.7,0.25
risk assessment,DEV,0.2,0.3,0.5, risk,0.0,0.7,0.3, assessment,0.1,0.0,0.9
storm shelters,DEV,0.55,0.0,0.45, storm,0.0,0.7,0.3, shelters,0.65,0.1,0.25
apartheid laws,DEV,0.0952380952381,0.666666666667,0.238095238095, apartheid,0.0,0.75,0.25, laws,0.25,0.0,0.75
autism spectrum,DEV,0.047619047619,0.380952380952,0.571428571429, autism,0.0,0.75,0.25, spectrum,0.25,0.0,0.75
sleep apnea,DEV,0.0,0.952380952381,0.047619047619, sleep,0.285714285714,0.0,0.714285714286, apnea,0.0,0.8,0.2
government restriction,DEV,0.0,0.9,0.1, government,0.0,0.0,1.0, restriction,0.0,0.85,0.15
heart attacks,DEV,0.0,0.95,0.05, heart,0.75,0.0,0.25, attacks,0.0,0.85,0.15
similarity collapses,DEV,0.0,0.8,0.2, similarity,0.25,0.0,0.75, collapses,0.0,0.85,0.15
accident rate,DEV,0.0,0.619047619048,0.380952380952, accident,0.0,0.95,0.05, rate,0.05,0.0,0.95
hunger pains,DEV,0.0,0.9,0.1, hunger,0.0,0.95,0.05, pains,0.05,0.95,0.0
tax liability,DEV,0.1,0.8,0.1, tax,0.0,0.55,0.45, liability,0.0,0.95,0.05
jail sentence,DEV,0.0,0.9,0.1, jail,0.0,0.952380952381,0.047619047619, sentence,0.0,0.15,0.85
air pollution,DEV,0.0,0.961538461538,0.0384615384615, air,0.2,0.0,0.8, pollution,0.0,1.0,0.0
broadcasting wars,DEV,0.047619047619,0.619047619048,0.333333333333, broadcasting,0.1,0.0,0.9, wars,0.0,1.0,0.0
cancer patient,DEV,0.0,0.85,0.15, cancer,0.0,1.0,0.0, patient,0.818181818182,0.0,0.181818181818
capital losses,DEV,0.047619047619,0.952380952381,0.0, capital,0.47619047619,0.0,0.52380952381, losses,0.0,1.0,0.0
crime activities,DEV,0.0,1.0,0.0, crime,0.0,1.0,0.0, activities,0.45,0.0,0.55
crime affairs,DEV,0.0,1.0,0.0, crime,0.0,1.0,0.0, affairs,0.0,0.3,0.7
crime rates,DEV,0.0,0.809523809524,0.190476190476, crime,0.0,1.0,0.0, rates,0.0,0.1,0.9
drought conditions,DEV,0.0,0.95,0.05, drought,0.0,1.0,0.0, conditions,0.15,0.0,0.85
enemy troops,DEV,0.0,0.945945945946,0.0540540540541, enemy,0.0,1.0,0.0, troops,0.25,0.0,0.75
garbage sites,DEV,0.0,0.6,0.4, garbage,0.0,1.0,0.0, sites,0.0,0.0,1.0
gender discrimination,DEV,0.0,1.0,0.0, gender,0.0,0.0,1.0, discrimination,0.0,1.0,0.0
health hazard,DEV,0.0,1.0,0.0, health,0.6,0.0,0.4, hazard,0.0,1.0,0.0
heart attack,DEV,0.0,1.0,0.0, heart,0.75,0.0,0.25, attack,0.0,1.0,0.0
heart disease,DEV,0.0,1.0,0.0, heart,0.75,0.0,0.25, disease,0.0,1.0,0.0
lie detector,DEV,0.238095238095,0.238095238095,0.52380952381, lie,0.0,1.0,0.0, detector,0.142857142857,0.0,0.857142857143
lie detectors,DEV,0.3,0.4,0.3, lie,0.0,1.0,0.0, detectors,0.15,0.05,0.8
lie director,DEV,0.2,0.5,0.3, lie,0.0,1.0,0.0, director,0.1,0.0,0.9
material misstatement,DEV,0.0,0.85,0.15, material,0.0333333333333,0.0333333333333,0.933333333333, misstatement,0.0,1.0,0.0
material weakness,DEV,0.0,0.952380952381,0.047619047619, material,0.0333333333333,0.0333333333333,0.933333333333, weakness,0.0,1.0,0.0
muscle strain,DEV,0.0,0.95,0.05, muscle,0.5,0.0,0.5, strain,0.0,1.0,0.0
slave owner,DEV,0.0,1.0,0.0, slave,0.0,1.0,0.0, owner,0.15,0.0,0.85
traffic problems,DEV,0.0,1.0,0.0, traffic,0.0,0.5,0.5, problems,0.0,1.0,0.0
abortion funding,TEST,0.0952380952381,0.47619047619,0.428571428571, abortion,0.0,0.6,0.4, funding,0.5,0.0,0.5
abuse scandal,TEST,0.0,1.0,0.0, abuse,0.0,1.0,0.0, scandal,0.0,1.0,0.0
accounting firms,TEST,0.1,0.1,0.8, accounting,0.05,0.05,0.9, firms,0.05,0.0,0.95
advance ticket,TEST,0.3,0.0,0.7, advance,0.55,0.0,0.45, ticket,0.0,0.25,0.75
airway blockage,TEST,0.0,1.0,0.0, airway,0.05,0.0,0.95, blockage,0.0,1.0,0.0
apartheid system,TEST,0.047619047619,0.666666666667,0.285714285714, apartheid,0.0,0.75,0.25, system,0.1,0.0,0.9
architecture work,TEST,0.190476190476,0.0,0.809523809524, architecture,0.2,0.0,0.8, work,0.4,0.0,0.6
ball team,TEST,0.25,0.0,0.75, ball,0.05,0.0,0.95, team,0.35,0.0,0.65
bargain purchase,TEST,0.8,0.0,0.2, bargain,0.9,0.0,0.1, purchase,0.3,0.0,0.7
body water,TEST,0.0,0.0,1.0, body,0.15,0.0,0.85, water,0.25,0.0,0.75
boom times,TEST,0.619047619048,0.0,0.380952380952, boom,0.05,0.15,0.8, times,0.05,0.05,0.9
brain scanning,TEST,0.05,0.15,0.8, brain,0.2,0.0,0.8, scanning,0.05,0.05,0.9
brain stimulus,TEST,0.571428571429,0.0,0.428571428571, brain,0.2,0.0,0.8, stimulus,0.35,0.0,0.65
building collapse,TEST,0.0,1.0,0.0, building,0.1,0.0,0.9, collapse,0.0,1.0,0.0
cable system,TEST,0.1,0.0,0.9, cable,0.1,0.0,0.9, system,0.1,0.0,0.9
cell phones,TEST,0.15,0.0,0.85, cell,0.05,0.05,0.9, phones,0.05,0.0,0.95
chemical materials,TEST,0.0,0.2,0.8, chemical,0.0,0.15,0.85, materials,0.1,0.0,0.9
childhood experiences,TEST,0.3,0.0,0.7, childhood,0.3,0.0,0.7, experiences,0.2,0.0,0.8
citizenship exam,TEST,0.47619047619,0.0,0.52380952381, citizenship,0.4,0.0,0.6, exam,0.0,0.333333333333,0.666666666667
city business,TEST,0.15,0.0,0.85, city,0.05,0.05,0.9, business,0.05,0.0,0.95
closet space,TEST,0.190476190476,0.0,0.809523809524, closet,0.05,0.0,0.95, space,0.1,0.0,0.9
college students,TEST,0.2,0.0,0.8, college,0.45,0.0,0.55, students,0.1,0.0,0.9
community service,TEST,0.545454545455,0.0454545454545,0.409090909091, community,0.55,0.0,0.45, service,0.4,0.0,0.6
company funds,TEST,0.285714285714,0.0,0.714285714286, company,0.2,0.05,0.75, funds,0.47619047619,0.0,0.52380952381
concert tickets,TEST,0.3,0.0,0.7, concert,0.2,0.0,0.8, tickets,0.0952380952381,0.0952380952381,0.809523809524
conclusion lecture,TEST,0.15,0.05,0.8, conclusion,0.2,0.05,0.75, lecture,0.05,0.3,0.65
construction standards,TEST,0.333333333333,0.0,0.666666666667, construction,0.25,0.05,0.7, standards,0.25,0.0,0.75
contract price,TEST,0.0,0.05,0.95, contract,0.15,0.05,0.8, price,0.05,0.05,0.9
control group,TEST,0.05,0.0,0.95, control,0.142857142857,0.0952380952381,0.761904761905, group,0.15,0.0,0.85
coral reefs,TEST,0.333333333333,0.0,0.666666666667, coral,0.05,0.0,0.95, reefs,0.1,0.0,0.9
corporation bonds,TEST,0.1,0.0,0.9, corporation,0.1,0.0,0.9, bonds,0.2,0.0,0.8
crisis disadvantages,TEST,0.0,1.0,0.0, crisis,0.0,1.0,0.0, disadvantages,0.0,1.0,0.0
culture design,TEST,0.25,0.0,0.75, culture,0.45,0.0,0.55, design,0.15,0.0,0.85
customer goodwill,TEST,0.9,0.05,0.05, customer,0.1,0.0,0.9, goodwill,0.904761904762,0.0,0.0952380952381
customer needs,TEST,0.15,0.0,0.85, customer,0.1,0.0,0.9, needs,0.05,0.2,0.75
customer survey,TEST,0.2,0.0,0.8, customer,0.1,0.0,0.9, survey,0.05,0.0,0.95
debt expense,TEST,0.047619047619,0.666666666667,0.285714285714, debt,0.0,0.95,0.05, expense,0.0,0.5,0.5
deer populations,TEST,0.15,0.0,0.85, deer,0.1,0.0,0.9, populations,0.047619047619,0.0,0.952380952381
depreciation system,TEST,0.05,0.6,0.35, depreciation,0.0,1.0,0.0, system,0.1,0.0,0.9
detector instruments,TEST,0.1,0.05,0.85, detector,0.142857142857,0.0,0.857142857143, instruments,0.2,0.0,0.8
drought theory,TEST,0.0,0.3,0.7, drought,0.0,1.0,0.0, theory,0.1,0.0,0.9
drug dealer,TEST,0.0,0.95,0.05, drug,0.0,0.333333333333,0.666666666667, dealer,0.0,0.05,0.95
earth life,TEST,0.5,0.0,0.5, earth,0.3,0.0,0.7, life,0.5,0.0,0.5
education programs,TEST,0.65,0.0,0.35, education,0.65,0.0,0.35, programs,0.15,0.0,0.85
education system,TEST,0.3,0.05,0.65, education,0.65,0.0,0.35, system,0.1,0.0,0.9
electricity generation,TEST,0.25,0.0,0.75, electricity,0.15,0.0,0.85, generation,0.05,0.0,0.95
employee compensation,TEST,0.8,0.0,0.2, employee,0.05,0.0,0.95, compensation,0.7,0.05,0.25
end result,TEST,0.190476190476,0.0,0.809523809524, end,0.0,0.55,0.45, result,0.2,0.0,0.8
energy use,TEST,0.0952380952381,0.190476190476,0.714285714286, energy,0.65,0.0,0.35, use,0.25,0.1,0.65
factory workers,TEST,0.0,0.05,0.95, factory,0.2,0.0,0.8, workers,0.1,0.0,0.9
farming methods,TEST,0.25,0.0,0.75, farming,0.3,0.0,0.7, methods,0.1,0.0,0.9
financing activities,TEST,0.3,0.0,0.7, financing,0.25,0.05,0.7, activities,0.45,0.0,0.55
food commercials,TEST,0.15,0.0,0.85, food,0.7,0.0,0.3, commercials,0.0,0.2,0.8
food habits,TEST,0.05,0.05,0.9, food,0.7,0.0,0.3, habits,0.0,0.15,0.85
food workers,TEST,0.15,0.05,0.8, food,0.7,0.0,0.3, workers,0.1,0.0,0.9
fruit punch,TEST,0.1,0.0,0.9, fruit,0.5,0.0,0.5, punch,0.0,0.5,0.5
garbage bag,TEST,0.0,0.15,0.85, garbage,0.0,1.0,0.0, bag,0.05,0.0,0.95
golf ball,TEST,0.1,0.0,0.9, golf,0.15,0.0,0.85, ball,0.05,0.0,0.95
government policy,TEST,0.05,0.25,0.7, government,0.0,0.0,1.0, policy,0.05,0.05,0.9
ground floor,TEST,0.05,0.0,0.95, ground,0.0,0.0,1.0, floor,0.0,0.0,1.0
health implications,TEST,0.0,0.6,0.4, health,0.6,0.0,0.4, implications,0.0,0.5,0.5
health problems,TEST,0.0,1.0,0.0, health,0.6,0.0,0.4, problems,0.0,1.0,0.0
heart beat,TEST,0.4,0.0,0.6, heart,0.75,0.0,0.25, beat,0.03125,0.5625,0.40625
heart problem,TEST,0.0,1.0,0.0, heart,0.75,0.0,0.25, problem,0.0,1.0,0.0
history museum,TEST,0.35,0.0,0.65, history,0.15,0.0,0.85, museum,0.4,0.0,0.6
injustice system,TEST,0.05,0.55,0.4, injustice,0.0,1.0,0.0, system,0.1,0.0,0.9
insurance premiums,TEST,0.0,0.333333333333,0.666666666667, insurance,0.5,0.0,0.5, premiums,0.6,0.0,0.4
interest rate,TEST,0.05,0.05,0.9, interest,0.666666666667,0.0,0.333333333333, rate,0.05,0.0,0.95
irrigation system,TEST,0.3,0.0,0.7, irrigation,0.3,0.0,0.7, system,0.1,0.0,0.9
job security,TEST,0.9,0.0,0.1, job,0.45,0.0,0.55, security,0.65,0.0,0.35
jogging exercise,TEST,0.5,0.0,0.5, jogging,0.45,0.0,0.55, exercise,0.45,0.0,0.55
laughing matter,TEST,0.818181818182,0.0,0.181818181818, laughing,0.857142857143,0.0,0.142857142857, matter,0.1,0.0,0.9
leadership style,TEST,0.15,0.0,0.85, leadership,0.65,0.0,0.35, style,0.4,0.0,0.6
learning background,TEST,0.363636363636,0.0,0.636363636364, learning,0.8,0.0,0.2, background,0.142857142857,0.0,0.857142857143
learning environment,TEST,0.35,0.0,0.65, learning,0.8,0.0,0.2, environment,0.05,0.0,0.95
leisure time,TEST,0.85,0.0,0.15, leisure,0.7,0.0,0.3, time,0.0681818181818,0.0113636363636,0.920454545455
life cycles,TEST,0.3,0.0,0.7, life,0.5,0.0,0.5, cycles,0.0,0.05,0.95
listening part,TEST,0.0,0.0,1.0, listening,0.6,0.0,0.4, part,0.0,0.0,1.0
listening passage,TEST,0.15,0.0,0.85, listening,0.6,0.0,0.4, passage,0.05,0.0,0.95
manager position,TEST,0.25,0.05,0.7, manager,0.15,0.0,0.85, position,0.05,0.0,0.95
manufacturing magazines,TEST,0.1,0.0,0.9, manufacturing,0.0952380952381,0.0,0.904761904762, magazines,0.0952380952381,0.0,0.904761904762
marketing campaign,TEST,0.15,0.05,0.8, marketing,0.15,0.0,0.85, campaign,0.190476190476,0.047619047619,0.761904761905
marketing campaigns,TEST,0.05,0.05,0.9, marketing,0.15,0.0,0.85, campaigns,0.1,0.1,0.8
marketing director,TEST,0.1,0.0,0.9, marketing,0.15,0.0,0.85, director,0.1,0.0,0.9
master degree,TEST,0.6,0.0,0.4, master,0.3,0.05,0.65, degree,0.2,0.0,0.8
media statement,TEST,0.0,0.15,0.85, media,0.05,0.1,0.85, statement,0.0,0.0,1.0
money usage,TEST,0.1,0.05,0.85, money,0.5,0.0,0.5, usage,0.05,0.0,0.95
mother country,TEST,0.5,0.0,0.5, mother,0.35,0.0,0.65, country,0.15,0.0,0.85
music education,TEST,0.55,0.0,0.45, music,0.2,0.05,0.75, education,0.65,0.0,0.35
operating system,TEST,0.15,0.0,0.85, operating,0.2,0.0,0.8, system,0.1,0.0,0.9
organization status,TEST,0.047619047619,0.047619047619,0.904761904762, organization,0.2,0.0,0.8, status,0.05,0.0,0.95
phone conversation,TEST,0.05,0.0,0.95, phone,0.0,0.0,1.0, conversation,0.2,0.0,0.8
placement courses,TEST,0.2,0.05,0.75, placement,0.0,0.0,1.0, courses,0.05,0.0,0.95
printing company,TEST,0.1,0.0,0.9, printing,0.1,0.0,0.9, company,0.2,0.05,0.75
privacy advocates,TEST,0.5,0.0,0.5, privacy,0.45,0.0,0.55, advocates,0.7,0.05,0.25
productivity potential,TEST,0.571428571429,0.0,0.428571428571, productivity,0.75,0.0,0.25, potential,0.7,0.0,0.3
psychology class,TEST,0.15,0.0,0.85, psychology,0.05,0.0,0.95, class,0.0952380952381,0.0952380952381,0.809523809524
psychology courses,TEST,0.25,0.0,0.75, psychology,0.05,0.0,0.95, courses,0.05,0.0,0.95
purchase prices,TEST,0.1,0.0,0.9, purchase,0.3,0.0,0.7, prices,0.0,0.15,0.85
purchase property,TEST,0.35,0.0,0.65, purchase,0.3,0.0,0.7, property,0.05,0.0,0.95
replacement material,TEST,0.25,0.0,0.75, replacement,0.05,0.1,0.85, material,0.0333333333333,0.0333333333333,0.933333333333
risk factors,TEST,0.0,0.95,0.05, risk,0.0,0.7,0.3, factors,0.05,0.05,0.9
roast meat,TEST,0.0952380952381,0.047619047619,0.857142857143, roast,0.05,0.0,0.95, meat,0.1,0.0,0.9
sale security,TEST,0.55,0.0,0.45, sale,0.6,0.0,0.4, security,0.65,0.0,0.35
scanning techniques,TEST,0.1,0.0,0.9, scanning,0.05,0.05,0.9, techniques,0.1,0.0,0.9
school district,TEST,0.15,0.0,0.85, school,0.3,0.0,0.7, district,0.0,0.0,1.0
school districts,TEST,0.047619047619,0.0,0.952380952381, school,0.3,0.0,0.7, districts,0.0,0.05,0.95
school kids,TEST,0.15,0.0,0.85, school,0.3,0.0,0.7, kids,0.25,0.0,0.75
school year,TEST,0.0,0.0,1.0, school,0.3,0.0,0.7, year,0.1,0.0,0.9
service corporations,TEST,0.2,0.0,0.8, service,0.4,0.0,0.6, corporations,0.05,0.15,0.8
sex abuse,TEST,0.0,1.0,0.0, sex,0.4,0.0,0.6, abuse,0.0,1.0,0.0
shrimp eggs,TEST,0.0,0.0,1.0, shrimp,0.15,0.05,0.8, eggs,0.05,0.0,0.95
space limitations,TEST,0.0,0.8,0.2, space,0.1,0.0,0.9, limitations,0.0,0.9,0.1
stock option,TEST,0.4,0.0,0.6, stock,0.15,0.05,0.8, option,0.35,0.0,0.65
survey result,TEST,0.0952380952381,0.0,0.904761904762, survey,0.05,0.0,0.95, result,0.2,0.0,0.8
survivorship curves,TEST,0.2,0.05,0.75, survivorship,0.4,0.1,0.5, curves,0.1,0.0,0.9
sweat shirt,TEST,0.0,0.0,1.0, sweat,0.0,0.35,0.65, shirt,0.0,0.0,1.0
systemizing ability,TEST,0.25,0.0,0.75, systemizing,0.05,0.0,0.95, ability,0.714285714286,0.0,0.285714285714
task force,TEST,0.1,0.0,0.9, task,0.1,0.05,0.85, force,0.0,0.6,0.4
teenager girl,TEST,0.142857142857,0.0,0.857142857143, teenager,0.05,0.0,0.95, girl,0.1,0.0,0.9
teenager girls,TEST,0.05,0.05,0.9, teenager,0.05,0.0,0.95, girls,0.15,0.0,0.85
ticket sales,TEST,0.25,0.0,0.75, ticket,0.0,0.25,0.75, sales,0.45,0.05,0.5
tourist industry,TEST,0.4,0.0,0.6, tourist,0.3,0.05,0.65, industry,0.2,0.0,0.8
town residents,TEST,0.1,0.0,0.9, town,0.0,0.0,1.0, residents,0.2,0.0,0.8
toy sales,TEST,0.25,0.0,0.75, toy,0.3,0.0,0.7, sales,0.45,0.05,0.5
trick cuffs,TEST,0.05,0.2,0.75, trick,0.1,0.65,0.25, cuffs,0.0,0.45,0.55
tv show,TEST,0.1,0.0,0.9, tv,0.3,0.0,0.7, show,0.1,0.0,0.9
viewer complaints,TEST,0.0,1.0,0.0, viewer,0.05,0.0,0.95, complaints,0.0,1.0,0.0
walking exercise,TEST,0.6,0.0,0.4, walking,0.35,0.0,0.65, exercise,0.45,0.0,0.55
war start,TEST,0.0,1.0,0.0, war,0.0,0.95,0.05, start,0.2,0.0,0.8
water jet,TEST,0.15,0.0,0.85, water,0.25,0.0,0.75, jet,0.1,0.0,0.9
weapon testing,TEST,0.05,0.35,0.6, weapon,0.05,0.6,0.35, testing,0.15,0.1,0.75
weather conditions,TEST,0.05,0.05,0.9, weather,0.0,0.0,1.0, conditions,0.15,0.0,0.85
wilderness areas,TEST,0.35,0.0,0.65, wilderness,0.2,0.0,0.8, areas,0.0,0.0,1.0
withdrawal symptoms,TEST,0.0,1.0,0.0, withdrawal,0.0,0.4,0.6, symptoms,0.0,0.7,0.3
wood panel,TEST,0.05,0.0,0.95, wood,0.05,0.0,0.95, panel,0.05,0.0,0.95
wood products,TEST,0.05,0.0,0.95, wood,0.05,0.0,0.95, products,0.1,0.0,0.9
work experiences,TEST,0.4,0.0,0.6, work,0.4,0.0,0.6, experiences,0.2,0.0,0.8
world leaders,TEST,0.3,0.05,0.65, world,0.1,0.0,0.9, leaders,0.75,0.05,0.2
world terrorism,TEST,0.0,1.0,0.0, world,0.1,0.0,0.9, terrorism,0.0,1.0,0.0
world war,TEST,0.0,0.85,0.15, world,0.1,0.0,0.9, war,0.0,0.95,0.05
year end,TEST,0.15,0.0,0.85, year,0.1,0.0,0.9, end,0.0,0.55,0.45
